username,user_metrics,location,text,created_at,id,lang,metrics,republican,clean_text,sentiment,,,,
DeckardR_B26354,"{'followers_count': 403, 'following_count': 923, 'tweet_count': 29154, 'listed_count': 0}",,@jasonselvig Republicans don't give a damn.,2023-02-03 20:44:53+00:00,45569,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  republicans do not give a damn ,['negative'],,,659,Negative
Ridim_Luv,"{'followers_count': 1745, 'following_count': 2605, 'tweet_count': 490259, 'listed_count': 129}",,@wyonaf Why are republicans always up in a woman's womb,2023-02-03 20:44:52+00:00,67648,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  why be republican always up in a woman womb ,['negative'],,,301,Positive
NATOgordo,"{'followers_count': 19, 'following_count': 113, 'tweet_count': 746, 'listed_count': 0}",,"@FerransRichard Republicans do support Ukraine you moron. We have a few, just like your “squad” who do not and they get all the attention. Those few republicans are mad because Brandon leaves our own border open, while defending others.",2023-02-03 20:44:52+00:00,46848,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  republicans do support ukraine you moron we have a few just like your squad who do not and they get all the attention those few republican be mad because brandon leave our own border open while defend other ,['negative'],,,,
macspidie,"{'followers_count': 8, 'following_count': 32, 'tweet_count': 3553, 'listed_count': 0}",Ohio,"@JoeBiden Sad.  By the time he reaches the time to run again., the economy will be chaos - but he will blame it on republicans",2023-02-03 20:44:51+00:00,23265,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  sad   by the time he reach the time to run again the economy will be chaos   but he will blame it on republicans ,['negative'],,,485,Republicans
d_murphy00,"{'followers_count': 380, 'following_count': 2203, 'tweet_count': 19215, 'listed_count': 3}",,@MarshaBlackburn Performative politics. If only the Republicans actually cared about national security.,2023-02-03 20:44:51+00:00,92128,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  performative politic if only the republicans actually care about national security ,['positive'],,,475,Democrats
AnitaWa42867213,"{'followers_count': 34, 'following_count': 331, 'tweet_count': 3399, 'listed_count': 0}",Massachusetts,@jonfavs The Republicans in the House just LOVE their asinine Conspiracy Theories!!,2023-02-03 20:44:51+00:00,768,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,  the republicans in the house just love their asinine conspiracy theory ,['positive'],,,,
moemoe8120,"{'followers_count': 1543, 'following_count': 2153, 'tweet_count': 30744, 'listed_count': 2}",Michigan,"You just wanna privatize it...big business for the rich 😡
https://t.co/HyQcCDJY4X

Former Vice President Mike Pence, a possible contender for the Republican presidential nomination in 2024, said Thursday that he wants to “reform” Social Secur...",2023-02-03 20:44:50+00:00,69093,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,you just wanna privatize itbig business for the rich former vice president mike pence a possible contender for the republican presidential nomination in   say thursday that he want to reform social secur ,['positive'],,,,
deamonomic,"{'followers_count': 24, 'following_count': 23, 'tweet_count': 3369, 'listed_count': 0}",,"@coolUncleCuz @PegCain1 @travisakers @MalcolmNance @GOP I'm sure if trump were president right now even if nothing was different republicans would be cooing about how awesome our economy is. 

The republican mentality line is everything is going to hell in a a hand basket, the dems are evil and only we can save you.",2023-02-03 20:44:48+00:00,46464,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,      I be sure if trump be president right now even if nothing be different republican would be coo about how awesome our economy be the republican mentality line be everything be go to hell in a a hand basket the dem be evil and only we can save you ,['positive'],,,,
Ruthbarbetta,"{'followers_count': 3532, 'following_count': 3180, 'tweet_count': 135628, 'listed_count': 17}",,"Huckabee Sanders to deliver Republican Response…
#MAGA 

https://t.co/ahtOXPIW1w",2023-02-03 20:44:47+00:00,18028,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,huckabee sander to deliver republican response ,['negative'],,,,
bryrsmith,"{'followers_count': 3174, 'following_count': 3959, 'tweet_count': 81487, 'listed_count': 66}",Illinois,"Let's just say Republicans, who claim Him as their ""savior"" and believe he is the son of God, would hate virtually everything about him. I mean, is there a shred of doubt about THAT? https://t.co/IftrEqrPPu",2023-02-03 20:44:47+00:00,57568,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",TRUE,let just say republican who claim he as their savior and believe he be the son of god would hate virtually everything about he I mean be there a shred of doubt about that ,['negative'],,,,
RobertWhitmor14,"{'followers_count': 120, 'following_count': 319, 'tweet_count': 1273, 'listed_count': 0}",Hawaii,@MayoIsSpicyy People love Florida so move out of the Democrat run shitholes and moved to Florida where freedom is a must.,2023-02-03 20:44:53+00:00,56995,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0, 'impression_count': 0}",FALSE,  people love florida so move out of the democrat run shithole and move to florida where freedom be a must ,['positive'],,,,
